ent_num,program,sdn_name,sdn_type,title
3754,"SDGT,SDT",MOUSA MOHAMMED ABU MARZOOK,individual,"Political Leader in Amman, Jordan and Damascus, Syria for HAMAS"
4106,SDNT,HELMER HERRERA BUITRAGO,individual,
4107,SDNT,GILBERTO JOSE RODRIGUEZ OREJUELA,individual,
4108,SDNT,MIGUEL ANGEL RODRIGUEZ OREJUELA,individual,
4109,SDNT,JOSE SANTACRUZ LONDONO,individual,
4110,SDNT,AUREAL INMOBILIARIA LTDA.,,
4111,SDNT,CARS & CARS LTDA.,,
4121,SDNT,CAUCALITO LTDA.,,
4122,SDNT,GRUPO SANTA LTDA.,,
4123,SDNT,HACIENDA LA NOVILLERA,,
4124,SDNT,HACIENDA SANDRANA,,
4125,SDNT,INMOBILIARIA AURORA LTDA.,,
4126,SDNT,NEGOCIOS LOS SAUCES LTDA. Y CIA. S.C.S.,,
4127,SDNT,INTERCREDITOS S.A.,,
4130,SDNT,INVERSIONES INTEGRAL Y CIA.,,
4132,SDNT,INVERSIONES SANTA LTDA.,,
4135,SDNT,PREVIA S.A.,,
4136,SDNT,SAMARIA ARRENDAMIENT,,
4137,SDNT,SAMARIA CANAS,,
4138,SDNT,SAMARIA INTERESES,,
4139,SDNT,NEGOCIOS LOS SAUCES LTDA.,,
4140,SDNT,SAMARIA TIERRAS,,
4141,SDNT,SANDRANA CANAS,,
4142,SDNT,CONSTRUCCIONES ASTRO S.A.,,
4147,SDNT,CARLOS JULIO CARDONA OCHOA,individual,
4149,SDNT,LEONARDO CAVIEDES CRUZ,individual,
4152,SDNT,OCTAVIO ESTRADA URIBE,individual,
4181,SDNT,ANA MILENA SANTACRUZ CASTRO,individual,
4183,SDNT,JOSELIN TORRES CORTES,individual,
4186,CUBA,ACE INDIC NAVIGATION CO. LTD.,,
4187,CUBA,ACECHILLY NAVIGATION CO. LTD.,,
4188,CUBA,AIRMORES SHIPPING CO. LTD.,,
4189,CUBA,ANTILLANA SALVAGE CO. LTD.,,
4190,CUBA,ATAMALLO SHIPPING CO. LTD.,,
4191,CUBA,BETTINA SHIPPING CO. LTD.,,
4192,CUBA,BRADFIELD MARITIME CORPORATION INC.,,
4193,CUBA,CANIPEL S.A.,,
4194,CUBA,CARIBBEAN PRINCESS SHIPPING LTD.,,
4195,CUBA,CARIBBEAN QUEEN SHIPPING LTD.,,
4196,CUBA,EAST ISLAND SHIPPING CO. LTD.,,
4197,CUBA,EPAMAC SHIPPING CO. LTD.,,
4198,CUBA,FLIGHT DRAGON SHIPPING LTD.,,
4199,CUBA,FRUNI TRADING CO.,,
4200,CUBA,GOLDEN COMET NAVIGATION CO. LTD.,,
4201,CUBA,GRETE SHIPPING CO. S.A.,,
4202,CUBA,GUAMAR SHIPPING CO. S.A.,,
4204,CUBA,HUNTSLAND NAVIGATION CO. LTD.,,
4205,CUBA,HUNTSVILLE NAVIGATION CO. LTD.,,
4206,CUBA,KASPAR SHIPPING CO. S.A.,,
4207,CUBA,MARYOL ENTERPRISES INC.,,
4208,CUBA,NAVIGABLE WATER CORPORATION,,
4209,CUBA,NORTH ISLAND SHIPPING CO. LTD.,,
4210,CUBA,PEONY SHIPPING CO. LTD.,,
4212,CUBA,PIRANHA NAVIGATION CO. LTD.,,
4214,CUBA,REDESTOS SHIPPING CO. LTD.,,
4215,CUBA,SENANQUE SHIPPING CO. LTD.,,
4216,CUBA,SOUTH ISLAND SHIPPING CO. LTD.,,
4217,CUBA,STANDWEAR SHIPPING CO. LTD.,,
4218,CUBA,VALETTA SHIPPING CORPORATION,,
4219,CUBA,VIOLET NAVIGATION CO. LTD.,,
4220,CUBA,WADENA SHIPPING CORPORATION,,
4221,CUBA,WEST ISLAND SHIPPING CO. LTD.,,
4222,CUBA,WHITE SWAN SHIPPING CO. LTD.,,
4228,CUBA,CELTIC,vessel,
4229,CUBA,CRIOLLO,vessel,
4234,CUBA,HERMANN,vessel,
4238,CUBA,MAR AZUL,vessel,
4243,CUBA,SAND SWAN,vessel,
4249,CUBA,TIFON,vessel,
4257,SDT,RAMADAN ABDALLAH,individual,Secretary General of the PALESTINIAN ISLAMIC JIHAD
4258,SDNT,AMPARO CASTRO DE SANTACRUZ,individual,
4267,SDNT,AGROPECUARIA BETANIA LTDA.,,
4268,SDNT,AGROPECUARIA Y REFORESTADORA HERREBE LTDA.,,
4273,SDNT,SALUSTIO AMEZQUITA MENESES,individual,
4276,SDNT,ANCIZAR ANDRADE QUINTERO,individual,
4277,SDNT,JOSE FRANCISCO ANGULO OROBIO (SEGUNDO),individual,
4281,SDNT,JULIO CESAR ARBOLEDA ROMERO,individual,
4291,SDNT,LUZ MERY BUITRAGO DE HERRERA,individual,
4292,SDNT,ADIELA BUITRAGO MARIN,individual,
4293,SDNT,NUBIA BUITRAGO MARIN,individual,
4302,SDNT,CONCRETOS CALI S.A.,,
4303,SDNT,CONSTRUCTORA DIMISA LTDA.,,
4307,SDNT,OLIVERIO ABRIL CORTEZ,individual,
4309,SDNT,JUAN CARLOS CUARTES MORALES,individual,
4319,SDNT,WALTER ESCOBAR BUITRAGO,individual,
4323,SDNT,GILMER ANTONIO GALINDO,individual,
4324,SDNT,DIANA PAOLA GALINDO HERRERA,individual,
4325,SDNT,DIEGO ALEXANDER GALINDO HERRERA,individual,
4327,SDNT,ROSA ESPERANZA GALLEGO SOSSA,individual,
4335,SDNT,OCTAVIO GIRALDO SARRIA,individual,
4338,SDNT,OLMES DE JESUS GOMEZ BERRIO,individual,
4350,SDNT,HECTOR FABIO HERNANDEZ CANOBAS,individual,
4351,SDNT,ALVARO HERRERA BUITRAGO,individual,
4352,SDNT,STELLA HERRERA BUITRAGO,individual,
4355,SDNT,GISELLE HERRERA RAMIREZ,individual,
4356,SDNT,LINDA NICOLLE HERRERA RAMIREZ,individual,
4358,SDNT,RAUL ALBERTO IBANEZ LOPEZ,individual,
4359,SDNT,CRIADERO DE POLLOS EL ROSAL S.A.,,
4360,SDNT,ADMINISTRACION INMOBILIARIA BOLIVAR S.A.,,
4361,SDNT,INMOBILIARIA U.M.V. S.A.,,
4364,SDNT,INVERSIONES EL PENON S.A.,,
4367,SDNT,INVERSIONES HERREBE LTDA.,,
4374,SDNT,INVERSIONES Y CONSTRUCCIONES VALLE S.A.,,
4377,SDNT,JOSE ISIDRO JAIMES RIVERA,individual,
4380,SDNT,JUAN CARLOS LARRANAGA CALVACHE,individual,
4381,SDNT,ORLANDO LIBREROS DIEZ,individual,
4382,SDNT,EDGAR LINDO HURTADO,individual,
4383,SDNT,RICARDO JOSE LINARES REYES,individual,
4384,SDNT,VICENTE DE JESUS LOPERA LONDONO,individual,
4395,SDNT,FRANCISCO JOSE MONROY ARCILA,individual,
4398,SDNT,JUAN CARLOS MOSQUERA,individual,
4399,SDNT,ADRIANA DEL SOCORRO MUNOZ PAZ,individual,
4400,SDNT,JOAQUIN EMILIO MUNOZ PAZ,individual,
4412,SDNT,LISIMACO QUINTERO SALAZAR,individual,
4414,SDNT,DELIA NHORA RAMIREZ CORTES,individual,
4418,SDNT,WILLIAM RAMIREZ VALENCIANO,individual,
4424,SDNT,JORGE LUIS RIZO MORENO,individual,
4431,SDNT,HECTOR EMILIO ROSALES DIAZ,individual,
4435,SDNT,JESUS MARIA SAAVEDRA RESTREPO,individual,
4436,SDNT,NHORA CLEMENCIA SALCEDO RAMIREZ,individual,
4444,SDNT,SOCIEDAD CONSTRUCTORA Y ADMINISTRADORA DEL VALLE LTDA.,,
4450,SDNT,JOSE ABELARDO URIBE GONZALEZ,individual,
4451,SDNT,JHON GAVY VALENCIA ARIAS,individual,
4452,SDNT,LUIS FERNANDO VALENCIA ARIAS,individual,
4453,SDNT,REYNEL VALENCIA,individual,
4454,SDNT,VALLE COMUNICACIONES LTDA.,,
4457,SDNT,VIAJES MERCURIO LTDA.,,
4459,SDNT,NESTOR RAUL VICTORIA POTES,individual,
4460,SDNT,MARIA DEISY VILLEGAS ARIAS,individual,
4486,SDNT,AGROPECUARIA LA ROBLEDA S.A.,,
4487,SDNT,COMERCIAL DE NEGOCIOS CLARIDAD Y CIA.,,
